AÑO;MES;SEDE;CENTRO_COSTO;META
2026;MAYO;NORTE;L.N. PROCEDIMIENTOS;9809.847351
2026;MAYO;LINCE;L.N. CIRUGIA;2373
2026;MAYO;LINCE;L.N. CONSULTAS;1483
2026;MAYO;LINCE;L.N. EXAMENES;6229
2026;MAYO;LINCE;L.N. FARMACIA;2939
2026;MAYO;LINCE;L.N. LABORATORIO;902
2026;MAYO;LINCE;L.N. OPTICA;6881
2026;MAYO;LINCE;L.N. PROCEDIMIENTOS;4315
2026;JUNIO;CENTRO;L.N. CIRUGIA;334049.63
2026;JUNIO;CENTRO;L.N. CONSULTAS;48569
2026;JUNIO;CENTRO;L.N. EXAMENES;94259
2026;JUNIO;CENTRO;L.N. FARMACIA;46205.25
2026;JUNIO;CENTRO;L.N. LABORATORIO;15053.25
2026;JUNIO;CENTRO;L.N. OPTICA;23669.5
2026;JUNIO;CENTRO;L.N. PROCEDIMIENTOS;40778.37
2026;JUNIO;NORTE;L.N. CIRUGIA;87975
2026;JUNIO;NORTE;L.N. CONSULTAS;22798
2026;JUNIO;NORTE;L.N. EXAMENES;29107
2026;JUNIO;NORTE;L.N. FARMACIA;24537
2026;JUNIO;NORTE;L.N. LABORATORIO;7643
2026;JUNIO;NORTE;L.N. OPTICA;19576
2026;JUNIO;NORTE;L.N. PROCEDIMIENTOS;13547
2026;JUNIO;LINCE;L.N. CIRUGIA;26194.91525
2026;JUNIO;LINCE;L.N. CONSULTAS;18887.71186
2026;JUNIO;LINCE;L.N. EXAMENES;7091.828347
2026;JUNIO;LINCE;L.N. FARMACIA;10112.66923
2026;JUNIO;LINCE;L.N. LABORATORIO;2628.965553
2026;JUNIO;LINCE;L.N. OPTICA;19720.33898
2026;JUNIO;LINCE;L.N. PROCEDIMIENTOS;7043.186176
2026;JULIO;CENTRO;L.N. CIRUGIA;341902.54
2026;JULIO;CENTRO;L.N. CONSULTAS;51545
2026;JULIO;CENTRO;L.N. EXAMENES;92197.67
2026;JULIO;CENTRO;L.N. FARMACIA;45976.78
2026;JULIO;CENTRO;L.N. LABORATORIO;14683.67
2026;JULIO;CENTRO;L.N. OPTICA;20101.69
2026;JULIO;CENTRO;L.N. PROCEDIMIENTOS;41627.12
2026;JULIO;NORTE;L.N. CIRUGIA;91542.37288
2026;JULIO;NORTE;L.N. CONSULTAS;24297.69492
2026;JULIO;NORTE;L.N. EXAMENES;28633.2824
2026;JULIO;NORTE;L.N. FARMACIA;23817.56994
2026;JULIO;NORTE;L.N. LABORATORIO;7256.36681
2026;JULIO;NORTE;L.N. OPTICA;18652.54237
2026;JULIO;NORTE;L.N. PROCEDIMIENTOS;13592.37613
2026;JULIO;LINCE;L.N. CIRUGIA;26788.14
2026;JULIO;LINCE;L.N. CONSULTAS;19660
2026;JULIO;LINCE;L.N. EXAMENES;7393.278279
2026;JULIO;LINCE;L.N. FARMACIA;19660
2026;JULIO;LINCE;L.N. LABORATORIO;2355.238095
2026;JULIO;LINCE;L.N. OPTICA;19627.11864
2026;JULIO;LINCE;L.N. PROCEDIMIENTOS;7806.234316
2026;AGOSTO;CENTRO;L.N. CIRUGIA;350123
2026;AGOSTO;CENTRO;L.N. CONSULTAS;53197
2026;AGOSTO;CENTRO;L.N. EXAMENES;94622
2026;AGOSTO;CENTRO;L.N. FARMACIA;47011
2026;AGOSTO;CENTRO;L.N. LABORATORIO;15053
2026;AGOSTO;CENTRO;L.N. OPTICA;20101.69
2026;AGOSTO;CENTRO;L.N. PROCEDIMIENTOS;43322
2026;AGOSTO;NORTE;L.N. CIRUGIA;79602
2026;AGOSTO;NORTE;L.N. CONSULTAS;25719.94492
2026;AGOSTO;NORTE;L.N. EXAMENES;28563.2824
2026;AGOSTO;NORTE;L.N. FARMACIA;27151
2026;AGOSTO;NORTE;L.N. LABORATORIO;7679
2026;AGOSTO;NORTE;L.N. OPTICA;22144
2026;AGOSTO;NORTE;L.N. PROCEDIMIENTOS;13755
2026;AGOSTO;LINCE;L.N. CIRUGIA;24415
2026;AGOSTO;LINCE;L.N. CONSULTAS;36881
2026;AGOSTO;LINCE;L.N. EXAMENES;7545
2026;AGOSTO;LINCE;L.N. FARMACIA;10272
2026;AGOSTO;LINCE;L.N. LABORATORIO;2469
2026;AGOSTO;LINCE;L.N. OPTICA;20898
2026;AGOSTO;LINCE;L.N. PROCEDIMIENTOS;4206.900021
