Fecha;Meta;CENTRO;NORTE;LINCE
12/03/2026;35395.05;21034.25;14360.8;0
13/03/2026;27973.48;21034.25;6939.23;0
14/03/2026;26350.05;21034.25;5315.8;0
16/03/2026;27973.48;21034.25;6939.23;0
17/03/2026;35395.05;21034.25;14360.8;0
18/03/2026;27973.48;21034.25;6939.23;0
19/03/2026;35395.05;21034.25;14360.8;0
20/03/2026;27973.48;21034.25;6939.23;0
21/03/2026;26350.05;21034.25;5315.8;0
23/03/2026;27973.48;21034.25;6939.23;0
24/03/2026;35395.05;21034.25;14360.8;0
25/03/2026;27973.48;21034.25;6939.23;0
26/03/2026;35395.05;21034.25;14360.8;0
27/03/2026;27973.48;21034.25;6939.23;0
28/03/2026;27973.48;21034.25;6939.23;0
30/03/2026;27973.48;21034.25;6939.23;0
31/03/2026;36360.8;22000;14360.8;0
1/04/2026;26813.25;20014.04;6799.21;0
4/04/2026;23113.25;15914.04;7199.21;0
6/04/2026;26813.25;20014.04;6799.21;0
7/04/2026;44513.25;28164.04;16349.21;0
8/04/2026;27213.25;20414.04;6799.21;0
9/04/2026;44663.25;28364.04;16299.21;0
10/04/2026;32163.25;25264.04;6899.21;0
11/04/2026;22463.25;15414.04;7049.21;0
13/04/2026;27063.25;20114.04;6949.21;0
14/04/2026;44763.25;28364.04;16399.21;0
15/04/2026;27813.25;20914.04;6899.21;0
16/04/2026;44763.25;28364.04;16399.21;0
17/04/2026;32663.25;25764.04;6899.21;0
18/04/2026;23463.25;15914.04;7549.21;0
20/04/2026;27013.25;20114.04;6899.21;0
21/04/2026;44763.25;28364.04;16399.21;0
22/04/2026;27813.25;20914.04;6899.21;0
23/04/2026;44763.25;28364.04;16399.21;0
24/04/2026;32663.25;25764.04;6899.21;0
25/04/2026;22963.25;15414.04;7549.21;0
27/04/2026;26813.25;19914.04;6899.21;0
28/04/2026;43913.25;28064.04;15849.21;0
29/04/2026;27813.25;20914.04;6899.21;0
30/04/2026;40652.2;24923.01;15729.19;0
2/05/2026;30745.07134;19769.91538;9970.275956;1004.88
4/05/2026;30745.07134;19769.91538;9970.275956;1004.88
5/05/2026;39087.14134;25765.98538;12316.27596;1004.88
6/05/2026;30745.07134;19769.91538;9970.275956;1004.88
7/05/2026;39087.14134;25765.98538;12316.27596;1004.88
8/05/2026;39087.14134;25765.98538;12316.27596;1004.88
9/05/2026;30745.07134;19769.91538;9970.275956;1004.88
11/05/2026;30745.07134;19769.91538;9970.275956;1004.88
12/05/2026;39087.14134;25765.98538;12316.27596;1004.88
13/05/2026;30745.07134;19769.91538;9970.275956;1004.88
14/05/2026;39087.14134;25765.98538;12316.27596;1004.88
15/05/2026;39087.14134;25765.98538;12316.27596;1004.88
16/05/2026;30745.07134;19769.91538;9970.275956;1004.88
18/05/2026;30745.07134;19769.91538;9970.275956;1004.88
19/05/2026;39087.14134;25765.98538;12316.27596;1004.88
20/05/2026;30745.07134;19769.91538;9970.275956;1004.88
21/05/2026;39087.14134;25765.98538;12316.27596;1004.88
22/05/2026;39087.14134;25765.98538;12316.27596;1004.88
23/05/2026;30745.07134;19769.91538;9970.275956;1004.88
25/05/2026;30745.07134;19769.91538;9970.275956;1004.88
26/05/2026;39087.14134;25765.98538;12316.27596;1004.88
27/05/2026;30745.07134;19769.91538;9970.275956;1004.88
28/05/2026;39087.14134;25765.98538;12316.27596;1004.88
29/05/2026;39087.14134;25765.98538;12316.27596;1004.88
30/05/2026;30744.14134;19768.98538;9970.275956;1004.88
1/06/2026;32792.5253;19047.51188;8207.32;5537.693416
2/06/2026;28828.19741;18896.744;8207.32;1724.133416
3/06/2026;86700.83956;72955.82615;8207.32;5537.693416
4/06/2026;28828.19741;18896.744;8207.32;1724.133416
5/06/2026;38637.82741;24892.814;8207.32;5537.693416
6/06/2026;34824.26741;24892.814;8207.32;1724.133416
8/06/2026;32641.75741;18896.744;8207.32;5537.693416
9/06/2026;28828.19741;18896.744;8207.32;1724.133416
10/06/2026;38637.82741;24892.814;8207.32;5537.693416
11/06/2026;28828.19741;18896.744;8207.32;1724.133416
12/06/2026;38637.82741;24892.814;8207.32;5537.693416
13/06/2026;34824.26741;24892.814;8207.32;1724.133416
15/06/2026;32641.75741;18896.744;8207.32;5537.693416
16/06/2026;28828.19741;18896.744;8207.32;1724.133416
17/06/2026;38637.82741;24892.814;8207.32;5537.693416
18/06/2026;28828.19741;18896.744;8207.32;1724.133416
19/06/2026;38637.82741;24892.814;8207.32;5537.693416
20/06/2026;34824.26741;24892.814;8207.32;1724.133416
22/06/2026;32641.75741;18896.744;8207.32;5537.693416
23/06/2026;28828.19741;18896.744;8207.32;1724.133416
24/06/2026;38637.82741;24892.814;8207.32;5537.693416
25/06/2026;28828.19741;18896.744;8207.32;1724.133416
26/06/2026;48637.82741;34892.814;8207.32;5537.693416
27/06/2026;34824.39741;24892.944;8207.32;1724.133416
30/06/2026;31640.40741;18895.394;8207.32;4537.693416
1/07/2026;17780.25867;9812.380952;6233.714877;1734.162838
2/07/2026;57725.65155;39312.38095;11283.71488;7129.555726
3/07/2026;51010.25867;34912.38095;10333.71488;5764.162838
4/07/2026;11653.66933;5420;5076.298258;1157.371071
6/07/2026;21225.84785;12562.38095;6433.714877;2229.752023
7/07/2026;64165.84785;43912.38095;12733.71488;7519.752023
8/07/2026;16176.3556;8112.380952;5933.714877;2130.259767
9/07/2026;55890.25867;39462.38095;9733.714877;6694.162838
10/07/2026;64910.25867;45812.38095;11883.71488;7214.162838
11/07/2026;10393.08014;4370;5206.298258;816.7818857
13/07/2026;20120.25867;11462.38095;6253.714877;2404.162838
14/07/2026;59810.25867;42162.38095;10733.71488;6914.162838
15/07/2026;17690.25867;9162.380952;6763.714877;1764.162838
16/07/2026;67640.25867;48212.38095;11583.71488;7844.162838
17/07/2026;53730.25867;37412.38095;9783.714877;6534.162838
18/07/2026;9428.080143;3800;4906.298258;721.7818857
20/07/2026;18300.25867;10412.38095;5733.714877;2154.162838
21/07/2026;71360.25867;51112.38095;12233.71488;8014.162838
22/07/2026;14250.25867;7012.380952;5983.714877;1254.162838
24/07/2026;78610.3104;55614.85714;14000.45786;8994.995406
25/07/2026;21263.13188;11992.47619;7303.041234;1967.614453
27/07/2026;29370.3104;18064.85714;8030.457853;3274.995406
30/07/2026;53310.3104;37214.85714;9550.457853;6544.995406
31/07/2026;34563.7904;20709.32714;10079.45785;3775.005406
;;;;
;;;;
;;;;
